year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid,467,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,"Sales, government funding, grants and subsidies",3060,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total income,3114,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total expenditure,2895,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,223,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Total assets,9323,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",c_6-9,Fixed tangible assets,5482,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Activity unit,1140,COUNT
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Rolling mean employees,14850,COUNT
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid,477,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and subsidies",2396,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total income,2438,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total expenditure,2344,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,126,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Total assets,6524,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets,3649,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Activity unit,480,COUNT
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Rolling mean employees,13983,COUNT
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid,410,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and subsidies",1806,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total income,1885,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total expenditure,1773,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,80,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Total assets,3984,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",e_20-49,Fixed tangible assets,1676,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Activity unit,111,COUNT
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees,7419,COUNT
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,200,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies",1075,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total income,1170,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total expenditure,1056,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,39,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Total assets,2067,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets,930,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,27,COUNT
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees,3522,COUNT
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,86,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",341,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,364,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,333,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,37,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,807,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",g_100-199,Fixed tangible assets,C,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,15,COUNT
2011,A,"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees,6120,COUNT
2011,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,173,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies",920,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total income,1034,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,850,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,93,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,2555,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,C,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,71652,COUNT
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,97878,COUNT
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,3527,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies",31145,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total income,32642,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure,29185,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,2616,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,133625,DOLLARS(millions)
2011,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets,76626,DOLLARS(millions)
2011,B,Mining,a_0,Activity unit,333,COUNT
2011,B,Mining,a_0,Rolling mean employees,0,COUNT
2011,B,Mining,a_0,Salaries and wages paid,98,DOLLARS(millions)
2011,B,Mining,a_0,"Sales, government funding, grants and subsidies",2111,DOLLARS(millions)
2011,B,Mining,a_0,Total income,2271,DOLLARS(millions)
2011,B,Mining,a_0,Total expenditure,1673,DOLLARS(millions)
2011,B,Mining,a_0,Operating profit before tax,636,DOLLARS(millions)
2011,B,Mining,a_0,Total assets,11988,DOLLARS(millions)
2011,B,Mining,a_0,Fixed tangible assets,3579,DOLLARS(millions)
2011,B,Mining,b_1-5,Activity unit,168,COUNT
2011,B,Mining,b_1-5,Rolling mean employees,360,COUNT
2011,B,Mining,b_1-5,Salaries and wages paid,50,DOLLARS(millions)
2011,B,Mining,b_1-5,"Sales, government funding, grants and subsidies",443,DOLLARS(millions)
2011,B,Mining,b_1-5,Total income,462,DOLLARS(millions)
2011,B,Mining,b_1-5,Total expenditure,411,DOLLARS(millions)
2011,B,Mining,b_1-5,Operating profit before tax,89,DOLLARS(millions)
2011,B,Mining,b_1-5,Total assets,1213,DOLLARS(millions)
2011,B,Mining,b_1-5,Fixed tangible assets,771,DOLLARS(millions)
2011,B,Mining,c_6-9,Activity unit,21,COUNT
2011,B,Mining,c_6-9,Rolling mean employees,174,COUNT
2011,B,Mining,c_6-9,Salaries and wages paid,12,DOLLARS(millions)
2011,B,Mining,c_6-9,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
2011,B,Mining,c_6-9,Total income,65,DOLLARS(millions)
2011,B,Mining,c_6-9,Total expenditure,68,DOLLARS(millions)
2011,B,Mining,c_6-9,Operating profit before tax,0,DOLLARS(millions)
2011,B,Mining,c_6-9,Total assets,169,DOLLARS(millions)
2011,B,Mining,c_6-9,Fixed tangible assets,36,DOLLARS(millions)
2011,B,Mining,d_10-19,Activity unit,36,COUNT
2011,B,Mining,d_10-19,Rolling mean employees,489,COUNT
2011,B,Mining,d_10-19,Salaries and wages paid,31,DOLLARS(millions)
2011,B,Mining,d_10-19,"Sales, government funding, grants and subsidies",261,DOLLARS(millions)
2011,B,Mining,d_10-19,Total income,265,DOLLARS(millions)
2011,B,Mining,d_10-19,Total expenditure,239,DOLLARS(millions)
2011,B,Mining,d_10-19,Operating profit before tax,45,DOLLARS(millions)
2011,B,Mining,d_10-19,Total assets,375,DOLLARS(millions)
2011,B,Mining,d_10-19,Fixed tangible assets,162,DOLLARS(millions)
2011,B,Mining,e_20-49,Activity unit,21,COUNT
2011,B,Mining,e_20-49,Rolling mean employees,714,COUNT
2011,B,Mining,e_20-49,Salaries and wages paid,59,DOLLARS(millions)
2011,B,Mining,e_20-49,"Sales, government funding, grants and subsidies",759,DOLLARS(millions)
2011,B,Mining,e_20-49,Total income,872,DOLLARS(millions)
2011,B,Mining,e_20-49,Total expenditure,490,DOLLARS(millions)
2011,B,Mining,e_20-49,Operating profit before tax,C,DOLLARS(millions)
2011,B,Mining,e_20-49,Total assets,C,DOLLARS(millions)
2011,B,Mining,e_20-49,Fixed tangible assets,C,DOLLARS(millions)
2011,B,Mining,f_50-99,Activity unit,12,COUNT
2011,B,Mining,f_50-99,Rolling mean employees,663,COUNT
2011,B,Mining,f_50-99,Salaries and wages paid,60,DOLLARS(millions)
2011,B,Mining,f_50-99,"Sales, government funding, grants and subsidies",1188,DOLLARS(millions)
2011,B,Mining,f_50-99,Total income,1346,DOLLARS(millions)
2011,B,Mining,f_50-99,Total expenditure,811,DOLLARS(millions)
2011,B,Mining,f_50-99,Operating profit before tax,C,DOLLARS(millions)
2011,B,Mining,f_50-99,Total assets,2644,DOLLARS(millions)
2011,B,Mining,f_50-99,Fixed tangible assets,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Activity unit,6,COUNT
2011,B,Mining,g_100-199,Rolling mean employees,651,COUNT
2011,B,Mining,g_100-199,Salaries and wages paid,48,DOLLARS(millions)
2011,B,Mining,g_100-199,"Sales, government funding, grants and subsidies",C,DOLLARS(millions)
2011,B,Mining,g_100-199,Total income,272,DOLLARS(millions)
2011,B,Mining,g_100-199,Total expenditure,376,DOLLARS(millions)
2011,B,Mining,g_100-199,Operating profit before tax,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Total assets,C,DOLLARS(millions)
2011,B,Mining,g_100-199,Fixed tangible assets,C,DOLLARS(millions)
2011,B,Mining,h_200+,Activity unit,9,COUNT
2011,B,Mining,h_200+,Rolling mean employees,2850,COUNT
2011,B,Mining,h_200+,Salaries and wages paid,261,DOLLARS(millions)
2011,B,Mining,h_200+,"Sales, government funding, grants and subsidies",1858,DOLLARS(millions)
2011,B,Mining,h_200+,Total income,1933,DOLLARS(millions)
2011,B,Mining,h_200+,Total expenditure,1673,DOLLARS(millions)
2011,B,Mining,h_200+,Operating profit before tax,286,DOLLARS(millions)
2011,B,Mining,h_200+,Total assets,2099,DOLLARS(millions)
2011,B,Mining,h_200+,Fixed tangible assets,1050,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Activity unit,606,COUNT
2011,B,Mining,i_Industry_Total,Rolling mean employees,5907,COUNT
2011,B,Mining,i_Industry_Total,Salaries and wages paid,621,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,"Sales, government funding, grants and subsidies",6944,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Total income,7486,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Total expenditure,5742,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Operating profit before tax,1895,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Total assets,26953,DOLLARS(millions)
2011,B,Mining,i_Industry_Total,Fixed tangible assets,8859,DOLLARS(millions)
2011,C,Manufacturing,a_0,Activity unit,8382,COUNT
2017,R,Arts and Recreation Services,i_Industry_Total,Operating profit before tax,968,DOLLARS(millions)
2017,R,Arts and Recreation Services,i_Industry_Total,Total assets,10505,DOLLARS(millions)
2017,R,Arts and Recreation Services,i_Industry_Total,Fixed tangible assets,7125,DOLLARS(millions)
2017,S,Other Services,a_0,Activity unit,9723,COUNT
2017,S,Other Services,a_0,Rolling mean employees,0,COUNT
2017,S,Other Services,a_0,Salaries and wages paid,206,DOLLARS(millions)
2017,S,Other Services,a_0,"Sales, government funding, grants and subsidies",1173,DOLLARS(millions)
2017,S,Other Services,a_0,Total income,1430,DOLLARS(millions)
2017,S,Other Services,a_0,Total expenditure,1188,DOLLARS(millions)
2017,S,Other Services,a_0,Operating profit before tax,228,DOLLARS(millions)
2017,S,Other Services,a_0,Total assets,2811,DOLLARS(millions)
2017,S,Other Services,a_0,Fixed tangible assets,1160,DOLLARS(millions)
2017,S,Other Services,b_1-5,Activity unit,9045,COUNT
2017,S,Other Services,b_1-5,Rolling mean employees,20832,COUNT
2017,S,Other Services,b_1-5,Salaries and wages paid,925,DOLLARS(millions)
2017,S,Other Services,b_1-5,"Sales, government funding, grants and subsidies",2817,DOLLARS(millions)
2017,S,Other Services,b_1-5,Total income,3090,DOLLARS(millions)
2017,S,Other Services,b_1-5,Total expenditure,2780,DOLLARS(millions)
2017,S,Other Services,b_1-5,Operating profit before tax,265,DOLLARS(millions)
2017,S,Other Services,b_1-5,Total assets,3385,DOLLARS(millions)
2017,S,Other Services,b_1-5,Fixed tangible assets,884,DOLLARS(millions)
2017,S,Other Services,c_6-9,Activity unit,1602,COUNT
2017,S,Other Services,c_6-9,Rolling mean employees,11310,COUNT
2017,S,Other Services,c_6-9,Salaries and wages paid,489,DOLLARS(millions)
2017,S,Other Services,c_6-9,"Sales, government funding, grants and subsidies",1417,DOLLARS(millions)
2017,S,Other Services,c_6-9,Total income,1584,DOLLARS(millions)
2017,S,Other Services,c_6-9,Total expenditure,1389,DOLLARS(millions)
2017,S,Other Services,c_6-9,Operating profit before tax,129,DOLLARS(millions)
2017,S,Other Services,c_6-9,Total assets,1564,DOLLARS(millions)
2017,S,Other Services,c_6-9,Fixed tangible assets,265,DOLLARS(millions)
2017,S,Other Services,d_10-19,Activity unit,831,COUNT
2017,S,Other Services,d_10-19,Rolling mean employees,10878,COUNT
2017,S,Other Services,d_10-19,Salaries and wages paid,471,DOLLARS(millions)
2017,S,Other Services,d_10-19,"Sales, government funding, grants and subsidies",1408,DOLLARS(millions)
2017,S,Other Services,d_10-19,Total income,1526,DOLLARS(millions)
2017,S,Other Services,d_10-19,Total expenditure,1392,DOLLARS(millions)
2017,S,Other Services,d_10-19,Operating profit before tax,126,DOLLARS(millions)
2017,S,Other Services,d_10-19,Total assets,1766,DOLLARS(millions)
2017,S,Other Services,d_10-19,Fixed tangible assets,486,DOLLARS(millions)
2017,S,Other Services,e_20-49,Activity unit,297,COUNT
2017,S,Other Services,e_20-49,Rolling mean employees,8322,COUNT
2017,S,Other Services,e_20-49,Salaries and wages paid,393,DOLLARS(millions)
2017,S,Other Services,e_20-49,"Sales, government funding, grants and subsidies",1148,DOLLARS(millions)
2017,S,Other Services,e_20-49,Total income,1440,DOLLARS(millions)
2017,S,Other Services,e_20-49,Total expenditure,1265,DOLLARS(millions)
2017,S,Other Services,e_20-49,Operating profit before tax,37,DOLLARS(millions)
2017,S,Other Services,e_20-49,Total assets,2482,DOLLARS(millions)
2017,S,Other Services,e_20-49,Fixed tangible assets,389,DOLLARS(millions)
2017,S,Other Services,f_50-99,Activity unit,54,COUNT
2017,S,Other Services,f_50-99,Rolling mean employees,3642,COUNT
2017,S,Other Services,f_50-99,Salaries and wages paid,180,DOLLARS(millions)
2017,S,Other Services,f_50-99,"Sales, government funding, grants and subsidies",452,DOLLARS(millions)
2017,S,Other Services,f_50-99,Total income,539,DOLLARS(millions)
2017,S,Other Services,f_50-99,Total expenditure,521,DOLLARS(millions)
2017,S,Other Services,f_50-99,Operating profit before tax,20,DOLLARS(millions)
2017,S,Other Services,f_50-99,Total assets,391,DOLLARS(millions)
2017,S,Other Services,f_50-99,Fixed tangible assets,133,DOLLARS(millions)
2017,S,Other Services,g_100-199,Activity unit,21,COUNT
2017,S,Other Services,g_100-199,Rolling mean employees,3159,COUNT
2017,S,Other Services,g_100-199,Salaries and wages paid,141,DOLLARS(millions)
2017,S,Other Services,g_100-199,"Sales, government funding, grants and subsidies",234,DOLLARS(millions)
2017,S,Other Services,g_100-199,Total income,398,DOLLARS(millions)
2017,S,Other Services,g_100-199,Total expenditure,395,DOLLARS(millions)
2017,S,Other Services,g_100-199,Operating profit before tax,11,DOLLARS(millions)
2017,S,Other Services,g_100-199,Total assets,319,DOLLARS(millions)
2017,S,Other Services,g_100-199,Fixed tangible assets,96,DOLLARS(millions)
2017,S,Other Services,h_200+,Activity unit,6,COUNT
2017,S,Other Services,h_200+,Rolling mean employees,2655,COUNT
2017,S,Other Services,h_200+,Salaries and wages paid,158,DOLLARS(millions)
2017,S,Other Services,h_200+,"Sales, government funding, grants and subsidies",395,DOLLARS(millions)
2017,S,Other Services,h_200+,Total income,483,DOLLARS(millions)
2017,S,Other Services,h_200+,Total expenditure,442,DOLLARS(millions)
2017,S,Other Services,h_200+,Operating profit before tax,22,DOLLARS(millions)
2017,S,Other Services,h_200+,Total assets,621,DOLLARS(millions)
2017,S,Other Services,h_200+,Fixed tangible assets,202,DOLLARS(millions)
2017,S,Other Services,i_Industry_Total,Activity unit,21576,COUNT
2017,S,Other Services,i_Industry_Total,Rolling mean employees,60798,COUNT
2017,S,Other Services,i_Industry_Total,Salaries and wages paid,2962,DOLLARS(millions)
2017,S,Other Services,i_Industry_Total,"Sales, government funding, grants and subsidies",9045,DOLLARS(millions)
2017,S,Other Services,i_Industry_Total,Total income,10491,DOLLARS(millions)
2017,S,Other Services,i_Industry_Total,Total expenditure,9373,DOLLARS(millions)
2017,S,Other Services,i_Industry_Total,Operating profit before tax,837,DOLLARS(millions)
2017,S,Other Services,i_Industry_Total,Total assets,13340,DOLLARS(millions)
2017,S,Other Services,i_Industry_Total,Fixed tangible assets,3615,DOLLARS(millions)
2017,all,All Industries,j_Grand_Total,Activity unit,478479,COUNT
2017,all,All Industries,j_Grand_Total,Rolling mean employees,1772925,COUNT
2017,all,All Industries,j_Grand_Total,Salaries and wages paid,99940,DOLLARS(millions)
2017,all,All Industries,j_Grand_Total,"Sales, government funding, grants and subsidies",566951,DOLLARS(millions)
2017,all,All Industries,j_Grand_Total,Total income,646011,DOLLARS(millions)
2017,all,All Industries,j_Grand_Total,Total expenditure,559995,DOLLARS(millions)
2017,all,All Industries,j_Grand_Total,Operating profit before tax,79686,DOLLARS(millions)
2017,all,All Industries,j_Grand_Total,Total assets,2016204,DOLLARS(millions)
2017,all,All Industries,j_Grand_Total,Fixed tangible assets,469146,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Activity unit,40770,COUNT
2018,A,"Agriculture, Forestry and Fishing",a_0,Rolling mean employees,0,COUNT
2018,A,"Agriculture, Forestry and Fishing",a_0,Salaries and wages paid,377,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,"Sales, government funding, grants and subsidies",10585,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Total income,12471,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Total expenditure,8843,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,2193,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Total assets,68083,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",a_0,Fixed tangible assets,38229,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Activity unit,20487,COUNT
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Rolling mean employees,38493,COUNT
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Salaries and wages paid,1959,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,"Sales, government funding, grants and subsidies",16051,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Total income,17128,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Total expenditure,14349,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax,1972,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Total assets,64252,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",b_1-5,Fixed tangible assets,38485,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Activity unit,2229,COUNT
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Rolling mean employees,15717,COUNT
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Salaries and wages paid,712,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,"Sales, government funding, grants and subsidies",4256,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Total income,4409,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Total expenditure,3899,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,431,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Total assets,14340,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",c_6-9,Fixed tangible assets,9075,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Activity unit,1251,COUNT
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Rolling mean employees,16374,COUNT
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Salaries and wages paid,690,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,"Sales, government funding, grants and subsidies",3456,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Total income,3623,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Total expenditure,3202,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,342,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Total assets,9688,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",d_10-19,Fixed tangible assets,5184,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Activity unit,582,COUNT
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Rolling mean employees,17289,COUNT
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Salaries and wages paid,644,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,"Sales, government funding, grants and subsidies",3211,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Total income,3395,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Total expenditure,2997,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,279,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Total assets,6799,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",e_20-49,Fixed tangible assets,3291,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Activity unit,144,COUNT
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Rolling mean employees,9450,COUNT
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Salaries and wages paid,343,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,"Sales, government funding, grants and subsidies",1487,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Total income,1594,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Total expenditure,1412,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,170,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Total assets,4176,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",f_50-99,Fixed tangible assets,1574,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Activity unit,36,COUNT
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Rolling mean employees,5154,COUNT
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Salaries and wages paid,184,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,"Sales, government funding, grants and subsidies",570,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Total income,574,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Total expenditure,543,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,30,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Total assets,434,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",g_100-199,Fixed tangible assets,C,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Activity unit,21,COUNT
2018,A,"Agriculture, Forestry and Fishing",h_200+,Rolling mean employees,10671,COUNT
2018,A,"Agriculture, Forestry and Fishing",h_200+,Salaries and wages paid,375,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,"Sales, government funding, grants and subsidies",1503,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Total income,1560,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,1406,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,144,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,3280,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,C,DOLLARS(millions)
2018,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,65520,COUNT
